Term,Description,AllParent,AllChild,SigInParent,SigInChild,Exp,p,adjP,FDR
GO:0048278,vesicle docking,602,20,9,2, 0.27,0.008226,1.000,0.235
GO:0048483,autonomic nervous system devel...,2274,29,24,2, 0.29,0.008380,1.000,0.235
GO:0016051,carbohydrate biosynthetic process,3122,77,27,3, 0.65,0.008957,1.000,0.237
GO:2001141,regulation of RNA biosynthetic...,2128,1671,19,10,14.96,0.009182,1.000,0.237
GO:2000008,regulation of protein localiza...,333,20,5,2, 0.27,0.009763,1.000,0.237
GO:0019226,transmission of nerve impulse,3577,26,44,2, 0.30,0.009883,1.000,0.237
GO:0007585,respiratory gaseous exchange,3058,30,33,2, 0.31,0.010370,1.000,0.237
GO:0007165,signal transduction,6103,3145,55,38,28.25,0.010509,1.000,0.237
GO:0097194,execution phase of apoptosis,6632,30,72,2, 0.31,0.010544,1.000,0.237
GO:0048146,positive regulation of fibrobl...,420,31,4,2, 0.28,0.010947,1.000,0.239
GO:0006352,"DNA-templated transcription, i...",1741,48,12,2, 0.32,0.011640,1.000,0.247
GO:0010563,negative regulation of phospho...,2426,288,19,6, 2.23,0.012249,1.000,0.249
GO:0060191,regulation of lipase activity,571,27,7,2, 0.31,0.012367,1.000,0.249
GO:0045936,negative regulation of phospha...,1721,288,14,6, 2.31,0.014314,1.000,0.281
GO:0005976,polysaccharide metabolic process,5139,48,38,2, 0.34,0.014685,1.000,0.282
GO:0030808,regulation of nucleotide biosy...,2115,51,16,2, 0.37,0.020177,1.000,0.375
GO:1901698,response to nitrogen compound,1936,316,23,8, 3.70,0.020801,1.000,0.375
GO:0007422,peripheral nervous system deve...,2274,37,24,2, 0.37,0.020967,1.000,0.375
GO:1904036,negative regulation of epithel...,447,25,7,2, 0.37,0.021783,1.000,0.380
GO:0031400,negative regulation of protein...,2185,281,15,5, 1.91,0.025382,1.000,0.423
GO:0048144,fibroblast proliferation,932,48,8,2, 0.40,0.025857,1.000,0.423
GO:0031497,chromatin assembly,751,64,10,3, 0.82,0.026082,1.000,0.423
GO:0050886,endocrine process,1081,45,10,2, 0.40,0.026493,1.000,0.423
GO:0030239,myofibril assembly,448,31,6,2, 0.39,0.026905,1.000,0.423
GO:0042770,signal transduction in respons...,1621,49,14,2, 0.41,0.027900,1.000,0.430
GO:0032012,regulation of ARF protein sign...,133,14,4,2, 0.37,0.029306,1.000,0.443
GO:1901293,nucleoside phosphate biosynthe...,2445,163,21,4, 1.38,0.031308,1.000,0.456
GO:0001933,negative regulation of protein...,1122,202,8,4, 1.42,0.031316,1.000,0.456
GO:0032011,ARF protein signal transduction,187,14,6,2, 0.40,0.033123,1.000,0.473
GO:1904888,cranial skeletal system develo...,2815,42,30,2, 0.43,0.033825,1.000,0.475
GO:0010033,response to organic substance,1936,1163,23,19,13.75,0.035482,1.000,0.489
GO:0043062,extracellular structure organi...,7080,130,78,4, 1.40,0.037922,1.000,0.505
GO:1903506,regulation of nucleic acid-tem...,1734,1667,12,10,11.55,0.037942,1.000,0.505
GO:1904035,regulation of epithelial cell ...,697,33,10,2, 0.45,0.040125,1.000,0.510
GO:0000902,cell morphogenesis,707,659,7,5, 6.54,0.040971,1.000,0.510
GO:0071824,protein-DNA complex subunit or...,1051,91,11,3, 0.93,0.041244,1.000,0.510
GO:0034330,cell junction organization,7080,133,78,4, 1.44,0.042317,1.000,0.510
GO:0007264,small GTPase mediated signal t...,1358,345,14,7, 3.52,0.042711,1.000,0.510
GO:2000177,regulation of neural precursor...,761,46,8,2, 0.47,0.043117,1.000,0.510
GO:0090305,nucleic acid phosphodiester bo...,2433,69,17,2, 0.47,0.043235,1.000,0.510
GO:0006333,chromatin assembly or disassembly,343,79,4,3, 0.90,0.044034,1.000,0.510
GO:0046887,positive regulation of hormone...,924,45,10,2, 0.47,0.044119,1.000,0.510
GO:0007568,aging,2964,84,34,3, 0.94,0.046422,1.000,0.529
GO:0015833,peptide transport,1139,113,10,3, 0.97,0.048011,1.000,0.539
GO:0060548,negative regulation of cell death,2457,461,19,7, 3.54,0.050474,1.000,0.559
GO:0014031,mesenchymal cell development,1110,38,15,2, 0.49,0.052381,1.000,0.562
GO:0005977,glycogen metabolic process,199,32,3,2, 0.46,0.052678,1.000,0.562
GO:0030510,regulation of BMP signaling pa...,1023,53,10,2, 0.50,0.053591,1.000,0.562
GO:0016482,cytosolic transport,700,73,5,2, 0.51,0.055012,1.000,0.562
GO:0060560,developmental growth involved ...,1592,116,14,3, 1.00,0.055166,1.000,0.562
GO:0048145,regulation of fibroblast proli...,730,48,8,2, 0.51,0.055746,1.000,0.562
GO:0034764,positive regulation of transme...,1111,53,11,2, 0.51,0.055864,1.000,0.562
GO:0060986,endocrine hormone secretion,143,24,3,2, 0.47,0.056981,1.000,0.562
GO:0048864,stem cell development,1100,39,15,2, 0.51,0.058422,1.000,0.562
GO:0010817,regulation of hormone levels,1747,203,14,4, 1.61,0.059012,1.000,0.562
GO:0051248,negative regulation of protein...,3506,505,25,7, 3.58,0.059119,1.000,0.562
GO:0045010,actin nucleation,205,35,3,2, 0.49,0.060507,1.000,0.562
GO:0010942,positive regulation of cell death,2806,280,29,6, 2.86,0.060611,1.000,0.562
GO:0048863,stem cell differentiation,1905,99,20,3, 1.02,0.060798,1.000,0.562
GO:0051174,regulation of phosphorus metab...,3589,853,25,10, 5.91,0.061705,1.000,0.564
GO:0031668,cellular response to extracell...,4007,89,47,3, 1.02,0.064329,1.000,0.581
GO:0042326,negative regulation of phospho...,1299,220,10,4, 1.68,0.065330,1.000,0.584
GO:0010469,regulation of receptor activity,2084,50,23,2, 0.54,0.066370,1.000,0.586
GO:0006996,organelle organization,3078,1652,32,12,17.23,0.070001,1.000,0.601
GO:0050905,neuromuscular process,759,72,6,2, 0.56,0.070123,1.000,0.601
GO:0000086,G2/M transition of mitotic cel...,394,56,4,2, 0.55,0.070484,1.000,0.601
GO:0090101,negative regulation of transme...,682,56,7,2, 0.56,0.072127,1.000,0.601
GO:0010506,regulation of autophagy,5824,118,53,3, 1.06,0.072169,1.000,0.601
GO:0046434,organophosphate catabolic process,1170,56,12,2, 0.56,0.073559,1.000,0.601
GO:0006357,regulation of transcription fr...,1666,965,10,9, 5.77,0.073946,1.000,0.601
GO:0005975,carbohydrate metabolic process,5940,290,47,5, 2.27,0.074314,1.000,0.601
GO:0007167,enzyme linked receptor protein...,1212,457,19,11, 7.10,0.074980,1.000,0.601
GO:0050728,negative regulation of inflamm...,328,62,3,2, 0.55,0.077267,1.000,0.613
GO:0010941,regulation of cell death,5811,737,53,11, 6.68,0.080390,1.000,0.629
GO:0060341,regulation of cellular localiz...,1950,452,20,8, 4.60,0.080795,1.000,0.629
GO:0051056,regulation of small GTPase med...,1018,151,12,4, 1.75,0.083172,1.000,0.638
GO:0007267,cell-cell signaling,3385,552,42,11, 6.80,0.085658,1.000,0.638
GO:0006469,negative regulation of protein...,416,100,5,3, 1.18,0.085958,1.000,0.638
GO:0048667,cell morphogenesis involved in...,719,268,5,4, 1.85,0.086745,1.000,0.638
GO:0001932,regulation of protein phosphor...,1258,668,8,7, 4.23,0.087273,1.000,0.638
GO:0010646,regulation of cell communication,5844,1531,55,20,14.36,0.087890,1.000,0.638
GO:0010562,positive regulation of phospho...,2540,524,19,7, 3.90,0.087952,1.000,0.638
GO:2000112,regulation of cellular macromo...,2640,1855,24,13,16.90,0.089250,1.000,0.638
GO:0046883,regulation of hormone secretion,1712,94,21,3, 1.13,0.089342,1.000,0.638
GO:0001558,regulation of cell growth,1372,178,14,4, 1.79,0.093581,1.000,0.659
GO:0019637,organophosphate metabolic process,6013,488,47,7, 3.79,0.093899,1.000,0.659
GO:0006753,nucleoside phosphate metabolic...,1736,314,14,5, 2.51,0.096704,1.000,0.668
GO:1904019,epithelial cell apoptotic process,816,47,11,2, 0.61,0.096878,1.000,0.668
GO:0048675,axon extension,228,49,3,2, 0.63,0.101296,1.000,0.692
GO:0006140,regulation of nucleotide metab...,2635,89,19,2, 0.63,0.103603,1.000,0.695
GO:0051047,positive regulation of secretion,751,158,6,3, 1.25,0.103694,1.000,0.695
GO:0055080,cation homeostasis,295,262,6,4, 5.36,0.107809,1.000,0.695
GO:0032269,negative regulation of cellula...,3181,472,22,6, 3.25,0.108104,1.000,0.695
GO:0007272,ensheathment of neurons,6679,60,72,2, 0.63,0.108201,1.000,0.695
GO:0031334,positive regulation of protein...,1086,112,12,3, 1.22,0.108510,1.000,0.695
GO:0018108,peptidyl-tyrosine phosphorylation,1049,190,7,3, 1.26,0.108596,1.000,0.695
GO:0051650,establishment of vesicle local...,892,74,8,2, 0.65,0.108769,1.000,0.695
GO:0055065,metal ion homeostasis,271,234,5,3, 4.34,0.111408,1.000,0.699
GO:0002790,peptide secretion,477,103,6,3, 1.27,0.111698,1.000,0.699
GO:0019220,regulation of phosphate metabo...,1721,852,14,10, 6.91,0.112048,1.000,0.699
GO:0035637,multicellular organismal signa...,4882,58,56,2, 0.65,0.116779,1.000,0.723
GO:0044711,single-organism biosynthetic p...,4199,592,34,8, 4.77,0.118587,1.000,0.728
GO:0045937,positive regulation of phospha...,1721,524,14,7, 4.24,0.120632,1.000,0.735
GO:0043068,positive regulation of program...,840,270,11,6, 3.50,0.122112,1.000,0.738
GO:0090066,regulation of anatomical struc...,1747,243,14,4, 1.93,0.123934,1.000,0.739
GO:0006892,post-Golgi vesicle-mediated tr...,99,24,3,2, 0.69,0.126845,1.000,0.739
GO:0007265,Ras protein signal transduction,345,187,7,6, 3.75,0.128516,1.000,0.739
GO:0030308,negative regulation of cell gr...,2334,81,20,2, 0.68,0.128812,1.000,0.739
GO:0050777,negative regulation of immune ...,1207,65,13,2, 0.69,0.129128,1.000,0.739
GO:0032609,interferon-gamma production,363,66,4,2, 0.71,0.130085,1.000,0.739
GO:0006811,ion transport,2398,754,24,11, 7.51,0.132916,1.000,0.739
GO:0034220,ion transmembrane transport,922,485,12,9, 6.28,0.133114,1.000,0.739
GO:0022607,cellular component assembly,3136,1256,32,17,12.77,0.133677,1.000,0.739
GO:0090288,negative regulation of cellula...,2356,72,23,2, 0.69,0.133708,1.000,0.739
GO:0033673,negative regulation of kinase ...,460,106,6,3, 1.36,0.136840,1.000,0.739
GO:0009991,response to extracellular stim...,1014,135,15,4, 1.97,0.136989,1.000,0.739
GO:0031348,negative regulation of defense...,1181,85,10,2, 0.71,0.137262,1.000,0.739
GO:0065004,protein-DNA complex assembly,440,75,8,3, 1.33,0.138444,1.000,0.739
GO:0051348,negative regulation of transfe...,607,119,7,3, 1.35,0.138826,1.000,0.739
GO:0032649,regulation of interferon-gamma...,326,61,4,2, 0.73,0.139048,1.000,0.739
GO:0070887,cellular response to chemical ...,4039,1207,45,18,13.40,0.139246,1.000,0.739
GO:0008643,carbohydrate transport,1609,68,17,2, 0.70,0.140167,1.000,0.739
GO:0043254,regulation of protein complex ...,1589,187,17,4, 1.98,0.141664,1.000,0.739
GO:0050796,regulation of insulin secretion,210,53,3,2, 0.74,0.142605,1.000,0.739
GO:0060284,regulation of cell development,1409,402,17,2, 4.89,0.142763,1.000,0.739
GO:0061351,neural precursor cell prolifer...,932,86,8,2, 0.73,0.144211,1.000,0.739
GO:0010811,positive regulation of cell-su...,336,64,4,2, 0.75,0.145141,1.000,0.739
GO:0046058,cAMP metabolic process,240,61,3,2, 0.75,0.145213,1.000,0.739
GO:0090287,regulation of cellular respons...,5825,139,55,3, 1.30,0.146513,1.000,0.739
GO:0090092,regulation of transmembrane re...,1434,113,17,3, 1.32,0.146670,1.000,0.739
GO:0007166,cell surface receptor signalin...,3145,1212,38,19,14.59,0.147699,1.000,0.739
GO:0014033,neural crest cell differentiation,160,42,3,2, 0.76,0.153744,1.000,0.765
GO:0010243,response to organonitrogen com...,1169,269,19,7, 4.33,0.156246,1.000,0.770
GO:1901615,organic hydroxy compound metab...,5940,170,47,3, 1.33,0.158249,1.000,0.770
GO:0016192,vesicle-mediated transport,2398,598,24,9, 5.95,0.158783,1.000,0.770
GO:0006909,phagocytosis,1387,70,15,2, 0.74,0.159831,1.000,0.770
GO:0090407,organophosphate biosynthetic p...,3237,235,28,4, 2.02,0.160022,1.000,0.770
GO:0030036,actin cytoskeleton organization,1066,336,7,4, 2.19,0.162221,1.000,0.770
GO:0001764,neuron migration,1205,84,11,2, 0.76,0.162644,1.000,0.770
GO:0002244,hematopoietic progenitor cell ...,1922,73,20,2, 0.75,0.163280,1.000,0.770
GO:0007600,sensory perception,759,574,6,3, 4.55,0.163679,1.000,0.770
GO:0032774,RNA biosynthetic process,3020,1741,27,12,15.60,0.167983,1.000,0.786
GO:0007346,regulation of mitotic cell cycle,602,233,4,3, 1.54,0.175457,1.000,0.786
GO:0006875,cellular metal ion homeostasis,251,199,4,2, 3.19,0.175639,1.000,0.786
GO:0099565,chemical synaptic transmission...,418,42,8,2, 0.78,0.176601,1.000,0.786
GO:0001934,positive regulation of protein...,1153,443,8,5, 3.06,0.176874,1.000,0.786
GO:0045930,negative regulation of mitotic...,482,100,4,2, 0.82,0.178113,1.000,0.786
GO:2000026,regulation of multicellular or...,2939,927,30,6, 9.50,0.178183,1.000,0.786
GO:0043170,macromolecule metabolic process,5940,4981,47,36,39.44,0.178307,1.000,0.786
GO:0090087,regulation of peptide transport,926,74,10,2, 0.79,0.178977,1.000,0.786
GO:0051495,positive regulation of cytoske...,830,113,6,2, 0.81,0.180879,1.000,0.786
GO:0038127,ERBB signaling pathway,284,53,8,3, 1.45,0.181585,1.000,0.786
GO:0035270,endocrine system development,2274,75,24,2, 0.78,0.182458,1.000,0.786
GO:0034613,cellular protein localization,1192,845,13,7, 9.24,0.183444,1.000,0.786
GO:0044262,cellular carbohydrate metaboli...,5579,105,42,2, 0.78,0.184757,1.000,0.786
GO:0072331,signal transduction by p53 cla...,1358,78,14,2, 0.79,0.185733,1.000,0.786
GO:0032956,regulation of actin cytoskelet...,426,169,4,3, 1.57,0.186279,1.000,0.786
GO:0016032,viral process,338,315,4,3, 3.74,0.186387,1.000,0.786
GO:0042692,muscle cell differentiation,1942,208,20,4, 2.12,0.186744,1.000,0.786
GO:0048193,Golgi vesicle transport,598,99,9,3, 1.47,0.187728,1.000,0.786
GO:0016055,Wnt signaling pathway,249,207,5,3, 4.18,0.187755,1.000,0.786
GO:0031399,regulation of protein modifica...,2307,847,15,8, 5.49,0.188675,1.000,0.786
GO:0001666,response to hypoxia,1636,102,13,2, 0.80,0.189119,1.000,0.786
GO:0007018,microtubule-based movement,1201,136,13,3, 1.46,0.192115,1.000,0.795
GO:0034622,cellular macromolecular comple...,717,424,10,8, 5.88,0.195158,1.000,0.803
GO:0009306,protein secretion,910,230,9,4, 2.26,0.197043,1.000,0.807
GO:0007276,gamete generation,570,279,5,4, 2.43,0.198987,1.000,0.809
GO:0002791,regulation of peptide secretion,334,73,4,2, 0.86,0.199601,1.000,0.809
GO:0034728,nucleosome organization,935,71,11,2, 0.82,0.200743,1.000,0.809
GO:0043279,response to alkaloid,269,33,7,2, 0.83,0.203186,1.000,0.810
GO:1901699,cellular response to nitrogen ...,1255,236,20,6, 3.72,0.203540,1.000,0.810
GO:0007154,cell communication,6632,3374,72,42,36.57,0.204723,1.000,0.810
GO:0048704,embryonic skeletal system morp...,289,64,4,2, 0.87,0.205139,1.000,0.810
GO:0043549,regulation of kinase activity,757,354,7,5, 3.26,0.208977,1.000,0.811
GO:0031401,positive regulation of protein...,2130,546,15,6, 3.83,0.209082,1.000,0.811
GO:0034767,positive regulation of ion tra...,513,49,9,2, 0.84,0.210667,1.000,0.811
GO:0015850,organic hydroxy compound trans...,1609,80,17,2, 0.83,0.211872,1.000,0.811
GO:0098661,inorganic anion transmembrane ...,417,40,9,2, 0.84,0.211945,1.000,0.811
GO:0032990,cell part morphogenesis,707,466,7,3, 4.63,0.212520,1.000,0.811
GO:0016310,phosphorylation,1721,1243,14,8,10.13,0.214203,1.000,0.811
GO:0009914,hormone transport,1349,128,16,3, 1.50,0.215355,1.000,0.811
GO:0001818,negative regulation of cytokin...,764,112,6,2, 0.87,0.215482,1.000,0.811
GO:0048017,inositol lipid-mediated signaling,1358,83,14,2, 0.84,0.216240,1.000,0.811
GO:0051252,regulation of RNA metabolic pr...,3219,1748,24,10,13.06,0.217162,1.000,0.811
GO:0043603,cellular amide metabolic process,3256,576,25,2, 4.44,0.217684,1.000,0.811
GO:0006334,nucleosome assembly,626,55,10,2, 0.86,0.224168,1.000,0.827
GO:1990138,neuron projection extension,321,74,4,2, 0.91,0.224849,1.000,0.827
GO:0032409,regulation of transporter acti...,1890,91,18,2, 0.86,0.225768,1.000,0.827
GO:0030001,metal ion transport,525,404,7,4, 5.41,0.226133,1.000,0.827
GO:0008285,negative regulation of cell pr...,2555,323,18,4, 2.26,0.228585,1.000,0.829
GO:0055085,transmembrane transport,2398,729,24,10, 7.27,0.232486,1.000,0.829
GO:0044723,single-organism carbohydrate m...,2223,192,18,3, 1.54,0.234269,1.000,0.829
GO:1902589,single-organism organelle orga...,6851,993,73,7,10.62,0.235601,1.000,0.829
GO:1903827,regulation of cellular protein...,1104,320,11,5, 3.17,0.236064,1.000,0.829
GO:0014904,myotube cell development,109,26,4,2, 0.91,0.236089,1.000,0.829
GO:0050801,ion homeostasis,470,295,7,6, 4.37,0.236236,1.000,0.829
GO:0034655,nucleobase-containing compound...,2774,117,21,2, 0.88,0.239502,1.000,0.829
GO:0034762,regulation of transmembrane tr...,1392,202,16,4, 2.30,0.239767,1.000,0.829
GO:0048706,embryonic skeletal system deve...,559,86,6,2, 0.91,0.240187,1.000,0.829
GO:0072593,reactive oxygen species metabo...,5493,118,41,2, 0.87,0.240415,1.000,0.829
GO:0043623,cellular protein complex assembly,700,255,9,5, 3.26,0.241750,1.000,0.829
GO:1902580,single-organism cellular local...,1974,484,22,3, 5.42,0.242952,1.000,0.829
GO:0044770,cell cycle phase transition,606,197,3,2, 0.97,0.243694,1.000,0.829
GO:0048562,embryonic organ morphogenesis,754,203,9,4, 2.40,0.244778,1.000,0.829
GO:0051099,positive regulation of binding,837,85,9,2, 0.90,0.245006,1.000,0.829
GO:0000278,mitotic cell cycle,746,391,5,4, 2.61,0.246745,1.000,0.829
GO:0006366,transcription from RNA polymer...,1712,997,12,9, 6.97,0.248754,1.000,0.829
GO:0007049,cell cycle,6632,746,72,5, 8.13,0.250721,1.000,0.829
GO:0030509,BMP signaling pathway,1029,86,11,2, 0.91,0.252187,1.000,0.829
GO:0007163,establishment or maintenance o...,6632,83,72,2, 0.89,0.254796,1.000,0.829
GO:0098655,cation transmembrane transport,628,368,9,7, 5.25,0.255270,1.000,0.829
GO:1903532,positive regulation of secreti...,2682,147,29,3, 1.57,0.256732,1.000,0.829
GO:0000302,response to reactive oxygen sp...,631,74,8,2, 0.92,0.256943,1.000,0.829
GO:0072507,divalent inorganic cation home...,271,176,5,2, 3.27,0.258040,1.000,0.829
GO:0050714,positive regulation of protein...,415,102,4,2, 0.97,0.259658,1.000,0.829
GO:0030003,cellular cation homeostasis,268,216,5,3, 4.05,0.259804,1.000,0.829
GO:0031324,negative regulation of cellula...,5991,1129,43,11, 8.08,0.259993,1.000,0.829
GO:0070727,cellular macromolecule localiz...,1628,850,18,7, 9.42,0.260847,1.000,0.829
GO:0010467,gene expression,4981,2680,36,16,19.39,0.261014,1.000,0.829
GO:0048232,male gamete generation,279,210,4,2, 3.03,0.261934,1.000,0.829
GO:2000027,regulation of organ morphogenesis,1364,106,12,2, 0.92,0.262484,1.000,0.829
GO:0043086,negative regulation of catalyt...,1134,338,11,5, 3.26,0.263107,1.000,0.829
GO:0048468,cell development,2956,1068,33,15,11.89,0.265086,1.000,0.829
GO:0006818,hydrogen transport,1286,80,15,2, 0.92,0.265495,1.000,0.829
GO:0048008,platelet-derived growth factor...,284,34,8,2, 0.93,0.265565,1.000,0.829
GO:1901701,cellular response to oxygen-co...,1297,417,18,8, 5.76,0.266165,1.000,0.829
GO:0019827,stem cell population maintenance,3421,81,39,2, 0.91,0.267177,1.000,0.829
GO:0006518,peptide metabolic process,1140,514,8,2, 3.62,0.267797,1.000,0.829
GO:0044260,cellular macromolecule metabol...,5905,4483,45,31,34.19,0.270719,1.000,0.834
GO:0050727,regulation of inflammatory res...,569,143,4,2, 1.00,0.273163,1.000,0.836
GO:0010810,regulation of cell-substrate a...,445,112,4,2, 1.00,0.273505,1.000,0.836
GO:0045595,regulation of cell differentia...,6148,833,58,5, 7.89,0.275526,1.000,0.837
GO:1903008,organelle disassembly,1043,126,8,2, 0.96,0.275942,1.000,0.837
GO:0032880,regulation of protein localiza...,1872,515,21,8, 5.75,0.279330,1.000,0.839
GO:0098656,anion transmembrane transport,610,59,10,2, 0.95,0.279694,1.000,0.839
GO:0032870,cellular response to hormone s...,982,252,16,6, 4.07,0.280390,1.000,0.839
GO:0071901,negative regulation of protein...,250,64,4,2, 1.01,0.281811,1.000,0.839
GO:1900542,regulation of purine nucleotid...,248,87,3,2, 1.04,0.281944,1.000,0.839
GO:0031175,neuron projection development,756,414,5,4, 2.73,0.283115,1.000,0.840
GO:0034614,cellular response to reactive ...,460,57,8,2, 0.97,0.289600,1.000,0.853
GO:0006886,intracellular protein transport,1248,502,12,3, 4.84,0.289622,1.000,0.853
GO:0043270,positive regulation of ion tra...,1103,90,12,2, 0.97,0.292360,1.000,0.857
GO:0070647,protein modification by small ...,2045,450,15,5, 3.29,0.294339,1.000,0.860
GO:0050920,regulation of chemotaxis,843,93,9,2, 0.98,0.295332,1.000,0.860
GO:0006974,cellular response to DNA damag...,901,394,8,2, 3.51,0.297648,1.000,0.863
GO:0043207,response to external biotic st...,1034,411,15,4, 5.99,0.304055,1.000,0.879
GO:0032271,regulation of protein polymeri...,215,104,4,3, 1.91,0.308618,1.000,0.883
GO:0010638,positive regulation of organel...,1903,319,15,4, 2.50,0.309593,1.000,0.883
GO:0071496,cellular response to external ...,1014,117,15,3, 1.71,0.309977,1.000,0.883
GO:0051493,regulation of cytoskeleton org...,948,244,7,3, 1.79,0.310302,1.000,0.883
GO:0032970,regulation of actin filament-b...,5829,186,53,3, 1.68,0.311508,1.000,0.883
GO:0043604,amide biosynthetic process,2533,506,19,2, 3.81,0.312436,1.000,0.883
GO:0030030,cell projection organization,7080,694,78,5, 7.68,0.315348,1.000,0.885
GO:0000122,negative regulation of transcr...,1118,397,10,2, 3.56,0.315699,1.000,0.885
GO:0098662,inorganic cation transmembrane...,407,326,9,6, 7.24,0.317195,1.000,0.885
GO:0030097,hemopoiesis,474,438,5,4, 4.63,0.317463,1.000,0.885
GO:0055086,nucleobase-containing small mo...,7690,333,75,5, 3.23,0.322068,1.000,0.895
GO:0071363,cellular response to growth fa...,959,309,16,7, 5.12,0.324473,1.000,0.896
GO:0043085,positive regulation of catalyt...,1158,606,12,8, 6.26,0.324753,1.000,0.896
GO:0006790,sulfur compound metabolic process,5493,136,41,2, 1.01,0.330521,1.000,0.905
GO:0034654,nucleobase-containing compound...,3212,1965,24,17,14.66,0.333628,1.000,0.905
GO:0048666,neuron development,1116,511,15,5, 6.89,0.335128,1.000,0.905
GO:0051345,positive regulation of hydrola...,831,330,9,5, 3.56,0.336839,1.000,0.905
GO:0072522,purine-containing compound bio...,2685,126,22,2, 1.02,0.337560,1.000,0.905
GO:0070848,response to growth factor,1163,315,19,7, 5.12,0.338631,1.000,0.905
GO:0071804,cellular potassium ion transport,6863,95,74,2, 1.01,0.338656,1.000,0.905
GO:0032102,negative regulation of respons...,1497,140,19,3, 1.76,0.339341,1.000,0.905
GO:0030832,regulation of actin filament l...,249,96,3,2, 1.15,0.340643,1.000,0.905
GO:0031032,actomyosin structure organization,336,94,4,2, 1.11,0.341238,1.000,0.905
GO:0044270,cellular nitrogen compound cat...,3618,134,28,2, 1.03,0.343136,1.000,0.905
GO:0072006,nephron development,2986,91,34,2, 1.03,0.343172,1.000,0.905
GO:0055114,oxidation-reduction process,2155,605,17,3, 4.79,0.343992,1.000,0.905
GO:0046700,heterocycle catabolic process,3214,134,25,2, 1.03,0.345808,1.000,0.905
GO:0001817,regulation of cytokine production,1475,324,12,4, 2.62,0.346176,1.000,0.905
GO:0022603,regulation of anatomical struc...,1980,500,19,3, 4.82,0.347035,1.000,0.905
GO:0030902,hindbrain development,2986,92,34,2, 1.04,0.351138,1.000,0.905
GO:0042327,positive regulation of phospho...,1296,463,10,5, 3.56,0.351172,1.000,0.905
GO:0009132,nucleoside diphosphate metabol...,314,70,5,2, 1.10,0.351641,1.000,0.905
GO:0048812,neuron projection morphogenesis,570,289,4,3, 2.02,0.352059,1.000,0.905
GO:0018212,peptidyl-tyrosine modification,600,192,6,3, 1.91,0.353386,1.000,0.905
GO:0050778,positive regulation of immune ...,1278,255,18,2, 3.61,0.354053,1.000,0.905
GO:0048469,cell maturation,2132,98,23,2, 1.05,0.354715,1.000,0.905
GO:0098660,inorganic ion transmembrane tr...,485,365,9,8, 6.75,0.357476,1.000,0.909
GO:0009187,cyclic nucleotide metabolic pr...,311,90,4,2, 1.15,0.365699,1.000,0.915
GO:0071417,cellular response to organonit...,1017,197,18,5, 3.46,0.366898,1.000,0.915
GO:0018193,peptidyl-amino acid modification,2045,600,15,6, 4.39,0.367213,1.000,0.915
GO:0043065,positive regulation of apoptot...,818,267,11,5, 3.57,0.367285,1.000,0.915
GO:0046907,intracellular transport,2678,700,27,5, 7.08,0.368975,1.000,0.915
