chromosome_id	chromosome_name	ensembl_gene_id	start_position	end_position	strand
1	1	ENSOCUG00000003024	92630425	92636390	-1
1	1	ENSOCUG00000003027	92616617	92626980	-1
1	1	ENSOCUG00000003036	92567521	92611217	1
1	1	ENSOCUG00000003044	92552344	92565075	-1
1	1	ENSOCUG00000003076	156789377	156793648	1
1	1	ENSOCUG00000003078	190346088	190347230	-1
1	1	ENSOCUG00000003080	156820308	156950700	1
1	1	ENSOCUG00000003082	190432326	190464611	1
1	1	ENSOCUG00000003089	190466449	190470849	-1
1	1	ENSOCUG00000003133	11508204	11509415	1
1	1	ENSOCUG00000003150	150714529	150734495	-1
1	1	ENSOCUG00000003156	150693089	150702780	-1
1	1	ENSOCUG00000003161	150749252	150773945	-1
1	1	ENSOCUG00000003165	150786251	150858182	-1
1	1	ENSOCUG00000003177	188845312	188846253	-1
1	1	ENSOCUG00000003208	54162349	54418938	-1
1	1	ENSOCUG00000003238	139112198	139127187	-1
1	1	ENSOCUG00000003295	53666722	53680089	-1
1	1	ENSOCUG00000003299	53596578	53602701	-1
1	1	ENSOCUG00000003302	141093819	141162653	1
1	1	ENSOCUG00000003317	148461339	148476380	1
1	1	ENSOCUG00000003320	34533385	34658797	-1
1	1	ENSOCUG00000003336	34527156	34530450	1
1	1	ENSOCUG00000003339	102005749	102006135	1
1	1	ENSOCUG00000003342	101995866	102006231	-1
1	1	ENSOCUG00000003455	49559479	49667886	1
1	1	ENSOCUG00000003465	49571940	49572815	-1
1	1	ENSOCUG00000003468	49530059	49558966	-1
1	1	ENSOCUG00000003485	194400515	194438187	1
1	1	ENSOCUG00000003503	145769269	145773850	1
1	1	ENSOCUG00000003506	34823569	34824510	-1
1	1	ENSOCUG00000003507	34760816	34814325	1
1	1	ENSOCUG00000003518	73318761	73495822	1
1	1	ENSOCUG00000003550	75974645	75981338	-1
1	1	ENSOCUG00000003598	16248348	16254231	1
1	1	ENSOCUG00000003643	192635992	192651663	-1
1	1	ENSOCUG00000003706	26785337	26786110	1
1	1	ENSOCUG00000003729	86724508	86763057	1
1	1	ENSOCUG00000003732	60906485	61123665	1
1	1	ENSOCUG00000003734	61168958	61242200	-1
1	1	ENSOCUG00000003736	86654572	86719417	1
1	1	ENSOCUG00000003818	174984882	175094758	1
1	1	ENSOCUG00000003826	150172627	150335844	-1
1	1	ENSOCUG00000003830	16152426	16153319	1
1	1	ENSOCUG00000003832	16010018	16133075	1
1	1	ENSOCUG00000003843	107647510	107940174	-1
1	1	ENSOCUG00000003913	14994600	15015704	1
1	1	ENSOCUG00000003918	14967273	14991727	1
1	1	ENSOCUG00000003943	194811738	194819288	-1
1	1	ENSOCUG00000003989	145629243	145630193	1
1	1	ENSOCUG00000004005	194802505	194803789	-1
1	1	ENSOCUG00000004011	142414593	142549368	1
1	1	ENSOCUG00000004030	50443353	50560481	1
1	1	ENSOCUG00000004054	166303795	166333090	-1
1	1	ENSOCUG00000004061	166336183	166457066	-1
1	1	ENSOCUG00000004075	166477541	166486126	-1
1	1	ENSOCUG00000004106	47546134	47652570	1
1	1	ENSOCUG00000004137	129898288	129899439	-1
1	1	ENSOCUG00000004189	51641068	51684727	1
1	1	ENSOCUG00000004217	13210735	13297361	-1
1	1	ENSOCUG00000004220	13086327	13201785	1
1	1	ENSOCUG00000004221	41345685	41361479	-1
1	1	ENSOCUG00000004225	149745877	149755514	1
1	1	ENSOCUG00000004226	41234307	41276911	-1
1	1	ENSOCUG00000004233	12908244	12988830	-1
1	1	ENSOCUG00000004234	149707673	149708617	-1
1	1	ENSOCUG00000004242	12842203	12906852	1
1	1	ENSOCUG00000004249	39643358	39894868	1
1	1	ENSOCUG00000004267	1946349	1947281	1
1	1	ENSOCUG00000004268	1817814	1923107	1
1	1	ENSOCUG00000004274	101958424	101971443	-1
1	1	ENSOCUG00000004283	1763194	1764543	-1
1	1	ENSOCUG00000004336	155436354	155497399	1
1	1	ENSOCUG00000004385	51744352	51757662	-1
1	1	ENSOCUG00000004401	40787110	40941863	1
1	1	ENSOCUG00000004418	185637322	185669591	1
1	1	ENSOCUG00000004460	37165358	37620825	1
1	1	ENSOCUG00000004462	133615152	133644902	-1
1	1	ENSOCUG00000004468	91203940	91233224	1
1	1	ENSOCUG00000004469	158042223	158100180	1
1	1	ENSOCUG00000004473	91203056	91203997	-1
1	1	ENSOCUG00000004474	93693017	93693949	1
1	1	ENSOCUG00000004475	133505090	133611237	-1
1	1	ENSOCUG00000004476	91178613	91199696	-1
1	1	ENSOCUG00000004480	158112945	158133615	-1
1	1	ENSOCUG00000004483	171976005	172000584	1
1	1	ENSOCUG00000004485	158155124	158171097	-1
1	1	ENSOCUG00000004490	109604153	109941502	1
1	1	ENSOCUG00000004491	171993573	172148533	-1
1	1	ENSOCUG00000004504	188193283	188194209	1
1	1	ENSOCUG00000004582	53686693	53804565	-1
1	1	ENSOCUG00000004615	99648692	99673771	1
1	1	ENSOCUG00000004619	99633048	99644257	1
1	1	ENSOCUG00000004628	99629571	99631280	1
1	1	ENSOCUG00000004686	137558594	138119363	1
1	1	ENSOCUG00000004710	20944145	21009438	1
1	1	ENSOCUG00000004731	194246704	194250744	1
1	1	ENSOCUG00000004753	53897468	53958460	-1
1	1	ENSOCUG00000004768	19457164	19459299	1
1	1	ENSOCUG00000004770	19432660	19451901	1
1	1	ENSOCUG00000004802	68461741	68462691	-1
1	1	ENSOCUG00000004832	153589720	153703530	1
1	1	ENSOCUG00000004833	20384826	20394454	-1
1	1	ENSOCUG00000004841	153711201	153755748	-1
1	1	ENSOCUG00000004879	1729460	1753835	1
1	1	ENSOCUG00000004895	35015634	35465738	-1
1	1	ENSOCUG00000004904	169606491	169797785	-1
1	1	ENSOCUG00000005028	126038	162795	1
1	1	ENSOCUG00000005040	88306	106911	-1
1	1	ENSOCUG00000005044	75200	85748	1
1	1	ENSOCUG00000005046	56534	74905	-1
1	1	ENSOCUG00000005054	52453	53037	1
1	1	ENSOCUG00000005077	20919275	20927972	1
1	1	ENSOCUG00000005089	20903954	20916868	1
1	1	ENSOCUG00000005192	97659583	97662877	-1
1	1	ENSOCUG00000005196	97494752	97577451	-1
1	1	ENSOCUG00000005226	151310196	151349180	1
1	1	ENSOCUG00000005255	104208800	104234371	1
1	1	ENSOCUG00000005268	187790113	187791042	-1
1	1	ENSOCUG00000005283	106332166	106376392	-1
1	1	ENSOCUG00000005321	184747148	184794352	-1
1	1	ENSOCUG00000005332	75329703	75394138	-1
1	1	ENSOCUG00000005361	189989647	189990582	-1
1	1	ENSOCUG00000005373	69927112	69997986	1
1	1	ENSOCUG00000005377	191606705	191652021	-1
1	1	ENSOCUG00000005385	191655093	191687046	1
1	1	ENSOCUG00000005392	191686933	191688574	1
1	1	ENSOCUG00000005433	150377612	150417622	-1
1	1	ENSOCUG00000005442	150453768	150455764	1
1	1	ENSOCUG00000005447	150462855	150517501	-1
1	1	ENSOCUG00000005469	155284686	155288233	-1
1	1	ENSOCUG00000005507	63848020	64070836	-1
1	1	ENSOCUG00000005557	186727115	186731593	1
1	1	ENSOCUG00000005565	42055788	42056832	1
1	1	ENSOCUG00000005593	98654174	98656720	1
1	1	ENSOCUG00000005655	8912310	8995157	-1
1	1	ENSOCUG00000005676	14003196	14006600	1
1	1	ENSOCUG00000005709	142203441	142255266	1
1	1	ENSOCUG00000005725	189511973	189512911	-1
1	1	ENSOCUG00000005726	147690611	147696141	-1
1	1	ENSOCUG00000005742	138741550	138742230	1
1	1	ENSOCUG00000005756	151138644	151167810	-1
1	1	ENSOCUG00000005809	7318576	7489081	-1
1	1	ENSOCUG00000005882	171736364	171784391	-1
1	1	ENSOCUG00000005891	29874220	29959497	1
1	1	ENSOCUG00000005904	5665756	5669463	1
1	1	ENSOCUG00000005940	155134370	155170679	1
1	1	ENSOCUG00000005946	7604836	7778611	-1
1	1	ENSOCUG00000005952	155172892	155215621	-1
1	1	ENSOCUG00000006069	31366713	31371572	-1
1	1	ENSOCUG00000006076	61368482	61375500	-1
1	1	ENSOCUG00000006080	191191411	191192340	1
1	1	ENSOCUG00000006081	191207771	191208715	1
1	1	ENSOCUG00000006085	165997814	166075032	1
1	1	ENSOCUG00000006104	114710915	114745039	-1
1	1	ENSOCUG00000006165	114085920	114139813	1
1	1	ENSOCUG00000006178	146981235	146982182	1
1	1	ENSOCUG00000006190	103075145	103403709	-1
1	1	ENSOCUG00000006192	32756944	33188233	-1
1	1	ENSOCUG00000006219	19484030	19498875	-1
1	1	ENSOCUG00000006320	52322585	52509562	-1
1	1	ENSOCUG00000006340	11609388	11621383	1
1	1	ENSOCUG00000006343	56667965	56691156	-1
1	1	ENSOCUG00000006353	186892978	186898842	-1
1	1	ENSOCUG00000006359	186898981	186904128	1
1	1	ENSOCUG00000006361	186905993	186907533	1
1	1	ENSOCUG00000006365	186908700	186909173	-1
1	1	ENSOCUG00000006368	186926059	186947218	-1
1	1	ENSOCUG00000006373	12563867	12728668	-1
1	1	ENSOCUG00000006388	194754722	194760592	1
1	1	ENSOCUG00000006393	194761788	194767630	1
1	1	ENSOCUG00000006433	18809328	18826856	1
1	1	ENSOCUG00000006442	18802442	18807848	1
1	1	ENSOCUG00000006445	129790800	129795550	1
1	1	ENSOCUG00000006451	18780389	18783384	1
1	1	ENSOCUG00000006453	18131635	18149375	-1
1	1	ENSOCUG00000006457	18775042	18777477	1
1	1	ENSOCUG00000006464	18128899	18130877	1
1	1	ENSOCUG00000006510	25947085	25982869	1
1	1	ENSOCUG00000006512	113476471	113507050	1
1	1	ENSOCUG00000006551	71387428	71391311	-1
1	1	ENSOCUG00000006585	148134853	148135776	1
1	1	ENSOCUG00000006593	147609099	147615079	1
1	1	ENSOCUG00000006596	185055329	185056564	-1
1	1	ENSOCUG00000006599	147615283	147616508	-1
1	1	ENSOCUG00000006604	147618850	147624305	-1
1	1	ENSOCUG00000006606	147625535	147645569	-1
1	1	ENSOCUG00000006617	149655770	149656681	1
1	1	ENSOCUG00000006619	147071424	147072365	-1
1	1	ENSOCUG00000006695	194277710	194286803	-1
1	1	ENSOCUG00000006731	166651995	166664193	-1
1	1	ENSOCUG00000006819	47080156	47400649	-1
1	1	ENSOCUG00000006876	6263352	6263934	1
1	1	ENSOCUG00000006906	8507062	8508018	-1
1	1	ENSOCUG00000006927	115717216	116020963	-1
1	1	ENSOCUG00000006972	106545911	106546534	-1
1	1	ENSOCUG00000006989	175828096	175831224	1
1	1	ENSOCUG00000006995	175840664	175842247	-1
1	1	ENSOCUG00000006998	175842571	175927012	1
1	1	ENSOCUG00000007031	16603197	16613980	-1
1	1	ENSOCUG00000007041	16597284	16599317	1
1	1	ENSOCUG00000007045	190726150	190728402	1
1	1	ENSOCUG00000007047	190740508	190782763	1
1	1	ENSOCUG00000007054	190767751	190773908	-1
1	1	ENSOCUG00000007093	151224917	151289591	1
1	1	ENSOCUG00000007146	183708853	183722011	1
1	1	ENSOCUG00000007181	139416189	139537343	1
1	1	ENSOCUG00000007222	116168530	116169273	-1
1	1	ENSOCUG00000007236	70192980	70433798	1
1	1	ENSOCUG00000007241	70431630	70499487	-1
1	1	ENSOCUG00000007303	144585739	144591722	-1
1	1	ENSOCUG00000007307	144582660	144583578	1
1	1	ENSOCUG00000007312	120397224	120440652	1
1	1	ENSOCUG00000007316	5795416	5841809	-1
1	1	ENSOCUG00000007318	130240960	130316715	-1
1	1	ENSOCUG00000007357	183732314	183749008	1
1	1	ENSOCUG00000007360	104141983	104151574	-1
1	1	ENSOCUG00000007361	183771677	183919177	1
1	1	ENSOCUG00000007369	183939149	183980392	-1
1	1	ENSOCUG00000007389	149531141	149532085	1
1	1	ENSOCUG00000007427	124017973	124557098	-1
1	1	ENSOCUG00000007429	191962742	191972186	1
1	1	ENSOCUG00000007430	76829298	76991613	1
1	1	ENSOCUG00000007436	102613883	102650486	1
1	1	ENSOCUG00000007441	102542375	102588978	1
1	1	ENSOCUG00000007462	102423434	102436015	-1
1	1	ENSOCUG00000007470	102189607	102368503	-1
1	1	ENSOCUG00000007503	111587532	111601272	1
1	1	ENSOCUG00000007505	72228527	72233469	-1
1	1	ENSOCUG00000007575	133829498	133843187	-1
1	1	ENSOCUG00000007580	133739212	133806720	1
1	1	ENSOCUG00000007597	158598442	159015628	1
1	1	ENSOCUG00000007608	172726776	172727324	-1
1	1	ENSOCUG00000007615	159057551	159061426	-1
1	1	ENSOCUG00000007621	142829417	142840619	-1
1	1	ENSOCUG00000007660	192266184	192267116	1
1	1	ENSOCUG00000007702	194839408	194845681	1
1	1	ENSOCUG00000007719	156399240	156576840	1
1	1	ENSOCUG00000007748	189897667	189898638	-1
1	1	ENSOCUG00000007758	64623120	64675004	1
1	1	ENSOCUG00000007765	64697635	64728069	1
1	1	ENSOCUG00000007770	79404694	79431972	1
1	1	ENSOCUG00000007791	147208894	147245473	-1
1	1	ENSOCUG00000007797	147270671	147284108	1
1	1	ENSOCUG00000007808	147333109	147335429	-1
1	1	ENSOCUG00000007880	8272815	8287523	-1
1	1	ENSOCUG00000007889	145685053	145686003	-1
1	1	ENSOCUG00000007916	62871871	62873157	1
1	1	ENSOCUG00000007935	15756563	15769926	1
1	1	ENSOCUG00000007941	193042362	193057018	1
1	1	ENSOCUG00000007947	193082921	193092138	1
1	1	ENSOCUG00000007955	154523039	154719439	1
1	1	ENSOCUG00000008004	174207754	174360172	1
1	1	ENSOCUG00000008044	19716659	19754404	1
1	1	ENSOCUG00000008053	70180904	70191288	-1
1	1	ENSOCUG00000008078	76143257	76197828	1
1	1	ENSOCUG00000008095	48762701	48824188	1
1	1	ENSOCUG00000008103	48851181	48874011	1
1	1	ENSOCUG00000008117	48727994	48742637	-1
1	1	ENSOCUG00000008122	187759150	187760076	-1
1	1	ENSOCUG00000008137	33250137	33578265	1
1	1	ENSOCUG00000008161	49372970	49453664	-1
1	1	ENSOCUG00000008196	123915229	123930150	-1
1	1	ENSOCUG00000008249	76034970	76059958	1
1	1	ENSOCUG00000008287	145219506	145220450	-1
1	1	ENSOCUG00000008288	70344815	70387744	-1
1	1	ENSOCUG00000008297	190475239	190477441	-1
1	1	ENSOCUG00000008303	113690095	113701956	1
1	1	ENSOCUG00000008320	20683719	20684426	-1
1	1	ENSOCUG00000008345	161749430	161750509	-1
1	1	ENSOCUG00000008397	75694090	75703433	-1
1	1	ENSOCUG00000008405	75739307	75739687	-1
1	1	ENSOCUG00000008471	48138715	48142032	1
1	1	ENSOCUG00000008531	75123667	75161438	-1
1	1	ENSOCUG00000008533	1643466	1662166	-1
1	1	ENSOCUG00000008540	75175685	75233865	-1
1	1	ENSOCUG00000008548	32393380	32395233	-1
1	1	ENSOCUG00000008553	63004202	63320005	-1
1	1	ENSOCUG00000008648	157733635	157734609	-1
1	1	ENSOCUG00000008705	127046420	127052894	1
1	1	ENSOCUG00000008778	74527930	74528673	-1
1	1	ENSOCUG00000008788	56062708	56177545	1
1	1	ENSOCUG00000008861	92742638	92743570	1
1	1	ENSOCUG00000008877	189329489	189330436	1
1	1	ENSOCUG00000008892	186748395	186760615	-1
1	1	ENSOCUG00000008896	151448041	151551123	1
1	1	ENSOCUG00000008928	20352754	20379246	1
1	1	ENSOCUG00000008937	20203827	20210221	-1
1	1	ENSOCUG00000008945	20183659	20195995	1
1	1	ENSOCUG00000008948	20163839	20183749	-1
1	1	ENSOCUG00000008957	20083768	20155665	-1
1	1	ENSOCUG00000008986	151567968	152081577	-1
1	1	ENSOCUG00000009017	70251230	70270361	-1
1	1	ENSOCUG00000009059	146928139	146929095	1
1	1	ENSOCUG00000009069	19589171	19626526	-1
1	1	ENSOCUG00000009071	19527231	19586628	1
1	1	ENSOCUG00000009073	146584501	146585448	-1
1	1	ENSOCUG00000009077	192838348	192847761	1
1	1	ENSOCUG00000009078	146527514	146529484	-1
1	1	ENSOCUG00000009084	192877798	192890250	-1
1	1	ENSOCUG00000009135	10079678	10093968	-1
1	1	ENSOCUG00000009178	140469606	140497411	1
1	1	ENSOCUG00000009279	8128276	8262632	1
1	1	ENSOCUG00000009285	105119352	105121804	-1
1	1	ENSOCUG00000009297	142752804	142813873	1
1	1	ENSOCUG00000009302	142648744	142701892	-1
1	1	ENSOCUG00000009312	146790128	146791099	1
1	1	ENSOCUG00000009315	38565413	38615252	-1
1	1	ENSOCUG00000009319	38511456	38561241	1
1	1	ENSOCUG00000009327	38060138	38454852	-1
1	1	ENSOCUG00000009365	86394706	86420963	-1
1	1	ENSOCUG00000009437	59151622	59358074	1
1	1	ENSOCUG00000009444	59416689	59478488	-1
1	1	ENSOCUG00000009466	122791691	122873124	-1
1	1	ENSOCUG00000009473	122739669	122782498	-1
1	1	ENSOCUG00000009562	187542767	187543681	1
1	1	ENSOCUG00000009565	187581261	187582208	1
1	1	ENSOCUG00000009602	157120230	157120811	-1
1	1	ENSOCUG00000009659	152333572	152347694	-1
1	1	ENSOCUG00000009662	104154374	104190295	-1
1	1	ENSOCUG00000009672	104115845	104127890	1
1	1	ENSOCUG00000009710	146040659	146042160	1
1	1	ENSOCUG00000009723	11647995	11657909	1
1	1	ENSOCUG00000009770	130812999	130874038	-1
1	1	ENSOCUG00000009821	194439624	194444763	1
1	1	ENSOCUG00000009832	146336037	146337023	1
1	1	ENSOCUG00000009834	474848	598211	-1
1	1	ENSOCUG00000009840	456317	467089	1
1	1	ENSOCUG00000009897	152092647	152096987	1
1	1	ENSOCUG00000009905	139135541	139135819	-1
1	1	ENSOCUG00000009923	157631958	157692944	-1
1	1	ENSOCUG00000009945	187569939	187570847	1
1	1	ENSOCUG00000009965	127562607	127667237	-1
1	1	ENSOCUG00000009988	194599865	194732090	1
1	1	ENSOCUG00000010010	147245332	147256823	1
1	1	ENSOCUG00000010051	86456736	86492427	-1
