ensembl_gene_id	chromosome_id	start_position	end_position
ENSOCUG00000000733	1	54454046	54505696
ENSOCUG00000000737	1	13354916	13387881
ENSOCUG00000000738	1	20417696	20451513
ENSOCUG00000000749	1	159269550	159292300
ENSOCUG00000000750	1	159294030	159448831
ENSOCUG00000000757	1	159534717	159590441
ENSOCUG00000000761	1	159609193	159907907
ENSOCUG00000000795	1	58821881	58831222
ENSOCUG00000000819	1	58321733	58350353
ENSOCUG00000000822	1	70630116	70705783
ENSOCUG00000000847	1	45429244	45862102
ENSOCUG00000000861	1	184186458	184231084
ENSOCUG00000000864	1	101025369	101257087
ENSOCUG00000000905	1	194061531	194067045
ENSOCUG00000000957	1	138693911	138694363
ENSOCUG00000000958	1	138680349	138688210
ENSOCUG00000000982	1	46416417	46420263
ENSOCUG00000001002	1	16680113	16741367
ENSOCUG00000001004	1	146677345	146678286
ENSOCUG00000001034	1	3635006	3795098
ENSOCUG00000001041	1	17356594	17440708
ENSOCUG00000001074	1	146158595	146159539
ENSOCUG00000001078	1	121990693	122108223
ENSOCUG00000001083	1	189464667	189465614
ENSOCUG00000001089	1	110678415	111069605
ENSOCUG00000001090	1	113845847	113860265
ENSOCUG00000001092	1	113830200	113840288
ENSOCUG00000001094	1	189455848	189456798
ENSOCUG00000001096	1	123182107	123184962
ENSOCUG00000001103	1	111573022	111585250
ENSOCUG00000001131	1	58141887	58227610
ENSOCUG00000001183	1	36228383	36462226
ENSOCUG00000001196	1	107077547	107078197
ENSOCUG00000001215	1	172613280	172695336
ENSOCUG00000001224	1	19162665	19163362
ENSOCUG00000001263	1	96820855	96892160
ENSOCUG00000001299	1	153868578	153986744
ENSOCUG00000001302	1	154012612	154073667
ENSOCUG00000001307	1	184491938	184493883
ENSOCUG00000001311	1	186776056	186808475
ENSOCUG00000001320	1	26481674	26589887
ENSOCUG00000001328	1	63590621	63836968
ENSOCUG00000001338	1	190612228	190615383
ENSOCUG00000001344	1	172902325	172904340
ENSOCUG00000001347	1	189578204	189579136
ENSOCUG00000001377	1	93432180	93433106
ENSOCUG00000001398	1	173444687	173481045
ENSOCUG00000001403	1	93941059	93942000
ENSOCUG00000001405	1	173489116	173658839
ENSOCUG00000001433	1	93441975	93442928
ENSOCUG00000001495	1	147028724	147030714
ENSOCUG00000001515	1	19132434	19133670
ENSOCUG00000001532	1	173209644	173222766
ENSOCUG00000001548	1	69537919	69647427
ENSOCUG00000001616	1	62290512	62721376
ENSOCUG00000001622	1	62749021	62763820
ENSOCUG00000001629	1	121903885	121920964
ENSOCUG00000001631	1	121868368	121869852
ENSOCUG00000001670	1	185179185	185257125
ENSOCUG00000001671	1	185260003	185266469
ENSOCUG00000001675	1	185270781	185446373
ENSOCUG00000001695	1	79590183	79596869
ENSOCUG00000001714	1	101861360	101884868
ENSOCUG00000001726	1	140610731	140630731
ENSOCUG00000001730	1	85675505	85716289
ENSOCUG00000001789	1	141815993	141862334
ENSOCUG00000001854	1	149383408	149384340
ENSOCUG00000001868	1	4234064	4306902
ENSOCUG00000001882	1	4225959	4229556
ENSOCUG00000001887	1	4047607	4152166
ENSOCUG00000001904	1	19011842	19013572
ENSOCUG00000001925	1	170826680	171106461
ENSOCUG00000001933	1	187290554	187417474
ENSOCUG00000001953	1	70837758	70877936
ENSOCUG00000001990	1	72044416	72127165
ENSOCUG00000001992	1	16514248	16543848
ENSOCUG00000001996	1	16476480	16479952
ENSOCUG00000001999	1	72132198	72165562
ENSOCUG00000002019	1	26020642	26021238
ENSOCUG00000002040	1	148403090	148404037
ENSOCUG00000002052	1	186226060	186278260
ENSOCUG00000002062	1	145506227	145507174
ENSOCUG00000002064	1	145496637	145497599
ENSOCUG00000002066	1	186291585	186537600
ENSOCUG00000002073	1	186537949	186549031
ENSOCUG00000002076	1	186576128	186593918
ENSOCUG00000002095	1	186608829	186615938
ENSOCUG00000002097	1	146940517	146941446
ENSOCUG00000002099	1	186620644	186661365
ENSOCUG00000002111	1	63425596	63427427
ENSOCUG00000002112	1	186662626	186679272
ENSOCUG00000002114	1	146617940	146653039
ENSOCUG00000002138	1	192300867	192301796
ENSOCUG00000002141	1	192308689	192309624
ENSOCUG00000002146	1	192323321	192324217
ENSOCUG00000002148	1	192371391	192413266
ENSOCUG00000002156	1	192438348	192472361
ENSOCUG00000002174	1	104201274	104209167
ENSOCUG00000002231	1	51852056	51887742
ENSOCUG00000002420	1	192825931	192833039
ENSOCUG00000002438	1	16176016	16227137
ENSOCUG00000002452	1	156699246	156702569
ENSOCUG00000002462	1	34118867	34381029
ENSOCUG00000002481	1	113615791	113627810
ENSOCUG00000002488	1	146896735	146897685
ENSOCUG00000002523	1	141995052	142055821
ENSOCUG00000002551	1	36539442	36916529
ENSOCUG00000002573	1	19828874	19909518
ENSOCUG00000002609	1	92485618	92485836
ENSOCUG00000002623	1	92468018	92479309
ENSOCUG00000002626	1	150023845	150029472
ENSOCUG00000002631	1	92426838	92463132
ENSOCUG00000002635	1	92362378	92378807
ENSOCUG00000002637	1	55082579	55083442
ENSOCUG00000002647	1	92347264	92360372
ENSOCUG00000002653	1	18786781	18793072
ENSOCUG00000002654	1	148262049	148262999
ENSOCUG00000002655	1	92321748	92334381
ENSOCUG00000002684	1	95103116	95106721
ENSOCUG00000002687	1	94226882	94229774
ENSOCUG00000002692	1	97040966	97353739
ENSOCUG00000002805	1	152222925	152261773
ENSOCUG00000002807	1	152267455	152308505
ENSOCUG00000002831	1	97671394	97760682
ENSOCUG00000002860	1	122255099	122302114
ENSOCUG00000002876	1	96909651	96978705
ENSOCUG00000002882	1	108423951	108447027
ENSOCUG00000002930	1	113919834	113966036
ENSOCUG00000002959	1	189530301	189531236
ENSOCUG00000002968	1	191518378	191519414
ENSOCUG00000002973	1	74451134	74484677
ENSOCUG00000002985	1	189407072	189407992
ENSOCUG00000003024	1	92630425	92636390
ENSOCUG00000003027	1	92616617	92626980
ENSOCUG00000003036	1	92567521	92611217
ENSOCUG00000003044	1	92552344	92565075
ENSOCUG00000003076	1	156789377	156793648
ENSOCUG00000003078	1	190346088	190347230
ENSOCUG00000003080	1	156820308	156950700
ENSOCUG00000003082	1	190432326	190464611
ENSOCUG00000003089	1	190466449	190470849
ENSOCUG00000003133	1	11508204	11509415
ENSOCUG00000003150	1	150714529	150734495
ENSOCUG00000003156	1	150693089	150702780
ENSOCUG00000003161	1	150749252	150773945
ENSOCUG00000003165	1	150786251	150858182
ENSOCUG00000003177	1	188845312	188846253
ENSOCUG00000003208	1	54162349	54418938
ENSOCUG00000003238	1	139112198	139127187
ENSOCUG00000003295	1	53666722	53680089
ENSOCUG00000003299	1	53596578	53602701
ENSOCUG00000003302	1	141093819	141162653
ENSOCUG00000003317	1	148461339	148476380
ENSOCUG00000003320	1	34533385	34658797
ENSOCUG00000003336	1	34527156	34530450
ENSOCUG00000003339	1	102005749	102006135
ENSOCUG00000003342	1	101995866	102006231
ENSOCUG00000003455	1	49559479	49667886
ENSOCUG00000003465	1	49571940	49572815
ENSOCUG00000003468	1	49530059	49558966
ENSOCUG00000003485	1	194400515	194438187
ENSOCUG00000003503	1	145769269	145773850
ENSOCUG00000003506	1	34823569	34824510
ENSOCUG00000003507	1	34760816	34814325
ENSOCUG00000003518	1	73318761	73495822
ENSOCUG00000003550	1	75974645	75981338
ENSOCUG00000003598	1	16248348	16254231
ENSOCUG00000003643	1	192635992	192651663
ENSOCUG00000003706	1	26785337	26786110
ENSOCUG00000003729	1	86724508	86763057
ENSOCUG00000003732	1	60906485	61123665
ENSOCUG00000003734	1	61168958	61242200
ENSOCUG00000003736	1	86654572	86719417
ENSOCUG00000003818	1	174984882	175094758
ENSOCUG00000003826	1	150172627	150335844
ENSOCUG00000003830	1	16152426	16153319
ENSOCUG00000003832	1	16010018	16133075
ENSOCUG00000003843	1	107647510	107940174
ENSOCUG00000003913	1	14994600	15015704
ENSOCUG00000003918	1	14967273	14991727
ENSOCUG00000003943	1	194811738	194819288
ENSOCUG00000003989	1	145629243	145630193
ENSOCUG00000004005	1	194802505	194803789
ENSOCUG00000004011	1	142414593	142549368
ENSOCUG00000004030	1	50443353	50560481
ENSOCUG00000004054	1	166303795	166333090
ENSOCUG00000004061	1	166336183	166457066
ENSOCUG00000004075	1	166477541	166486126
ENSOCUG00000004106	1	47546134	47652570
ENSOCUG00000004137	1	129898288	129899439
ENSOCUG00000004189	1	51641068	51684727
ENSOCUG00000004217	1	13210735	13297361
ENSOCUG00000004220	1	13086327	13201785
ENSOCUG00000004221	1	41345685	41361479
ENSOCUG00000004225	1	149745877	149755514
ENSOCUG00000004226	1	41234307	41276911
ENSOCUG00000004233	1	12908244	12988830
ENSOCUG00000004234	1	149707673	149708617
ENSOCUG00000004242	1	12842203	12906852
ENSOCUG00000004249	1	39643358	39894868
ENSOCUG00000004267	1	1946349	1947281
ENSOCUG00000004268	1	1817814	1923107
ENSOCUG00000004274	1	101958424	101971443
ENSOCUG00000004283	1	1763194	1764543
ENSOCUG00000004336	1	155436354	155497399
ENSOCUG00000004385	1	51744352	51757662
ENSOCUG00000004401	1	40787110	40941863
ENSOCUG00000004418	1	185637322	185669591
ENSOCUG00000004460	1	37165358	37620825
ENSOCUG00000004462	1	133615152	133644902
ENSOCUG00000004468	1	91203940	91233224
ENSOCUG00000004469	1	158042223	158100180
ENSOCUG00000004473	1	91203056	91203997
ENSOCUG00000004474	1	93693017	93693949
ENSOCUG00000004475	1	133505090	133611237
ENSOCUG00000004476	1	91178613	91199696
ENSOCUG00000004480	1	158112945	158133615
ENSOCUG00000004483	1	171976005	172000584
ENSOCUG00000004485	1	158155124	158171097
ENSOCUG00000004490	1	109604153	109941502
ENSOCUG00000004491	1	171993573	172148533
ENSOCUG00000004504	1	188193283	188194209
ENSOCUG00000004582	1	53686693	53804565
ENSOCUG00000004615	1	99648692	99673771
ENSOCUG00000004619	1	99633048	99644257
ENSOCUG00000004628	1	99629571	99631280
ENSOCUG00000004686	1	137558594	138119363
ENSOCUG00000004710	1	20944145	21009438
ENSOCUG00000004731	1	194246704	194250744
ENSOCUG00000004753	1	53897468	53958460
ENSOCUG00000004768	1	19457164	19459299
ENSOCUG00000004770	1	19432660	19451901
ENSOCUG00000004802	1	68461741	68462691
ENSOCUG00000004832	1	153589720	153703530
ENSOCUG00000004833	1	20384826	20394454
ENSOCUG00000004841	1	153711201	153755748
ENSOCUG00000004879	1	1729460	1753835
ENSOCUG00000004895	1	35015634	35465738
ENSOCUG00000004904	1	169606491	169797785
ENSOCUG00000005028	1	126038	162795
ENSOCUG00000005040	1	88306	106911
ENSOCUG00000005044	1	75200	85748
ENSOCUG00000005046	1	56534	74905
ENSOCUG00000005054	1	52453	53037
ENSOCUG00000005077	1	20919275	20927972
ENSOCUG00000005089	1	20903954	20916868
ENSOCUG00000005192	1	97659583	97662877
ENSOCUG00000005196	1	97494752	97577451
ENSOCUG00000005226	1	151310196	151349180
ENSOCUG00000005255	1	104208800	104234371
ENSOCUG00000005268	1	187790113	187791042
ENSOCUG00000005283	1	106332166	106376392
ENSOCUG00000005321	1	184747148	184794352
ENSOCUG00000005332	1	75329703	75394138
ENSOCUG00000005361	1	189989647	189990582
ENSOCUG00000005373	1	69927112	69997986
ENSOCUG00000005377	1	191606705	191652021
ENSOCUG00000005385	1	191655093	191687046
ENSOCUG00000005392	1	191686933	191688574
ENSOCUG00000005433	1	150377612	150417622
ENSOCUG00000005442	1	150453768	150455764
ENSOCUG00000005447	1	150462855	150517501
ENSOCUG00000005469	1	155284686	155288233
ENSOCUG00000005507	1	63848020	64070836
ENSOCUG00000005557	1	186727115	186731593
ENSOCUG00000005565	1	42055788	42056832
ENSOCUG00000005593	1	98654174	98656720
ENSOCUG00000005655	1	8912310	8995157
ENSOCUG00000005676	1	14003196	14006600
ENSOCUG00000005709	1	142203441	142255266
ENSOCUG00000005725	1	189511973	189512911
ENSOCUG00000005726	1	147690611	147696141
ENSOCUG00000005742	1	138741550	138742230
ENSOCUG00000005756	1	151138644	151167810
ENSOCUG00000005809	1	7318576	7489081
ENSOCUG00000005882	1	171736364	171784391
ENSOCUG00000005891	1	29874220	29959497
ENSOCUG00000005904	1	5665756	5669463
ENSOCUG00000005940	1	155134370	155170679
ENSOCUG00000005946	1	7604836	7778611
ENSOCUG00000005952	1	155172892	155215621
ENSOCUG00000006069	1	31366713	31371572
ENSOCUG00000006076	1	61368482	61375500
ENSOCUG00000006080	1	191191411	191192340
ENSOCUG00000006081	1	191207771	191208715
ENSOCUG00000006085	1	165997814	166075032
ENSOCUG00000006104	1	114710915	114745039
ENSOCUG00000006165	1	114085920	114139813
ENSOCUG00000006178	1	146981235	146982182
ENSOCUG00000006190	1	103075145	103403709
ENSOCUG00000006192	1	32756944	33188233
ENSOCUG00000006219	1	19484030	19498875
ENSOCUG00000006320	1	52322585	52509562
ENSOCUG00000006340	1	11609388	11621383
ENSOCUG00000006343	1	56667965	56691156
ENSOCUG00000006353	1	186892978	186898842
ENSOCUG00000006359	1	186898981	186904128
ENSOCUG00000006361	1	186905993	186907533
ENSOCUG00000006365	1	186908700	186909173
ENSOCUG00000006368	1	186926059	186947218
ENSOCUG00000006373	1	12563867	12728668
ENSOCUG00000006388	1	194754722	194760592
ENSOCUG00000006393	1	194761788	194767630
ENSOCUG00000006433	1	18809328	18826856
ENSOCUG00000006442	1	18802442	18807848
ENSOCUG00000006445	1	129790800	129795550
ENSOCUG00000006451	1	18780389	18783384
ENSOCUG00000006453	1	18131635	18149375
ENSOCUG00000006457	1	18775042	18777477
ENSOCUG00000006464	1	18128899	18130877
ENSOCUG00000006510	1	25947085	25982869
ENSOCUG00000006512	1	113476471	113507050
ENSOCUG00000006551	1	71387428	71391311
ENSOCUG00000006585	1	148134853	148135776
ENSOCUG00000006593	1	147609099	147615079
ENSOCUG00000006596	1	185055329	185056564
ENSOCUG00000006599	1	147615283	147616508
ENSOCUG00000006604	1	147618850	147624305
ENSOCUG00000006606	1	147625535	147645569
ENSOCUG00000006617	1	149655770	149656681
ENSOCUG00000006619	1	147071424	147072365
ENSOCUG00000006695	1	194277710	194286803
ENSOCUG00000006731	1	166651995	166664193
ENSOCUG00000006819	1	47080156	47400649
ENSOCUG00000006876	1	6263352	6263934
ENSOCUG00000006906	1	8507062	8508018
ENSOCUG00000006927	1	115717216	116020963
ENSOCUG00000006972	1	106545911	106546534
ENSOCUG00000006989	1	175828096	175831224
ENSOCUG00000006995	1	175840664	175842247
ENSOCUG00000006998	1	175842571	175927012
ENSOCUG00000007031	1	16603197	16613980
ENSOCUG00000007041	1	16597284	16599317
ENSOCUG00000007045	1	190726150	190728402
ENSOCUG00000007047	1	190740508	190782763
ENSOCUG00000007054	1	190767751	190773908
ENSOCUG00000007093	1	151224917	151289591
ENSOCUG00000007146	1	183708853	183722011
ENSOCUG00000007181	1	139416189	139537343
ENSOCUG00000007222	1	116168530	116169273
ENSOCUG00000007236	1	70192980	70433798
ENSOCUG00000007241	1	70431630	70499487
ENSOCUG00000007303	1	144585739	144591722
ENSOCUG00000007307	1	144582660	144583578
ENSOCUG00000007312	1	120397224	120440652
ENSOCUG00000007316	1	5795416	5841809
ENSOCUG00000007318	1	130240960	130316715
ENSOCUG00000007357	1	183732314	183749008
ENSOCUG00000007360	1	104141983	104151574
ENSOCUG00000007361	1	183771677	183919177
ENSOCUG00000007369	1	183939149	183980392
ENSOCUG00000007389	1	149531141	149532085
ENSOCUG00000007427	1	124017973	124557098
ENSOCUG00000007429	1	191962742	191972186
ENSOCUG00000007430	1	76829298	76991613
ENSOCUG00000007436	1	102613883	102650486
ENSOCUG00000007441	1	102542375	102588978
ENSOCUG00000007462	1	102423434	102436015
ENSOCUG00000007470	1	102189607	102368503
ENSOCUG00000007503	1	111587532	111601272
ENSOCUG00000007505	1	72228527	72233469
ENSOCUG00000007575	1	133829498	133843187
ENSOCUG00000007580	1	133739212	133806720
ENSOCUG00000007597	1	158598442	159015628
ENSOCUG00000007608	1	172726776	172727324
ENSOCUG00000007615	1	159057551	159061426
ENSOCUG00000007621	1	142829417	142840619
ENSOCUG00000007660	1	192266184	192267116
ENSOCUG00000007702	1	194839408	194845681
ENSOCUG00000007719	1	156399240	156576840
ENSOCUG00000007748	1	189897667	189898638
ENSOCUG00000007758	1	64623120	64675004
ENSOCUG00000007765	1	64697635	64728069
ENSOCUG00000007770	1	79404694	79431972
ENSOCUG00000007791	1	147208894	147245473
ENSOCUG00000007797	1	147270671	147284108
ENSOCUG00000007808	1	147333109	147335429
ENSOCUG00000007880	1	8272815	8287523
ENSOCUG00000007889	1	145685053	145686003
ENSOCUG00000007916	1	62871871	62873157
ENSOCUG00000007935	1	15756563	15769926
ENSOCUG00000007941	1	193042362	193057018
ENSOCUG00000007947	1	193082921	193092138
ENSOCUG00000007955	1	154523039	154719439
ENSOCUG00000008004	1	174207754	174360172
ENSOCUG00000008044	1	19716659	19754404
ENSOCUG00000008053	1	70180904	70191288
ENSOCUG00000008078	1	76143257	76197828
ENSOCUG00000008095	1	48762701	48824188
ENSOCUG00000008103	1	48851181	48874011
ENSOCUG00000008117	1	48727994	48742637
ENSOCUG00000008122	1	187759150	187760076
ENSOCUG00000008137	1	33250137	33578265
ENSOCUG00000008161	1	49372970	49453664
ENSOCUG00000008196	1	123915229	123930150
ENSOCUG00000008249	1	76034970	76059958
ENSOCUG00000008287	1	145219506	145220450
ENSOCUG00000008288	1	70344815	70387744
ENSOCUG00000008297	1	190475239	190477441
ENSOCUG00000008303	1	113690095	113701956
ENSOCUG00000008320	1	20683719	20684426
ENSOCUG00000008345	1	161749430	161750509
ENSOCUG00000008397	1	75694090	75703433
ENSOCUG00000008405	1	75739307	75739687
ENSOCUG00000008471	1	48138715	48142032
ENSOCUG00000008531	1	75123667	75161438
ENSOCUG00000008533	1	1643466	1662166
ENSOCUG00000008540	1	75175685	75233865
ENSOCUG00000008548	1	32393380	32395233
ENSOCUG00000008553	1	63004202	63320005
ENSOCUG00000008648	1	157733635	157734609
ENSOCUG00000008705	1	127046420	127052894
ENSOCUG00000008778	1	74527930	74528673
ENSOCUG00000008788	1	56062708	56177545
ENSOCUG00000008861	1	92742638	92743570
ENSOCUG00000008877	1	189329489	189330436
ENSOCUG00000008892	1	186748395	186760615
ENSOCUG00000008896	1	151448041	151551123
ENSOCUG00000008928	1	20352754	20379246
ENSOCUG00000008937	1	20203827	20210221
ENSOCUG00000008945	1	20183659	20195995
ENSOCUG00000008948	1	20163839	20183749
ENSOCUG00000008957	1	20083768	20155665
ENSOCUG00000008986	1	151567968	152081577
ENSOCUG00000009017	1	70251230	70270361
ENSOCUG00000009059	1	146928139	146929095
ENSOCUG00000009069	1	19589171	19626526
ENSOCUG00000009071	1	19527231	19586628
ENSOCUG00000009073	1	146584501	146585448
ENSOCUG00000009077	1	192838348	192847761
ENSOCUG00000009078	1	146527514	146529484
ENSOCUG00000009084	1	192877798	192890250
ENSOCUG00000009135	1	10079678	10093968
ENSOCUG00000009178	1	140469606	140497411
ENSOCUG00000009279	1	8128276	8262632
ENSOCUG00000009285	1	105119352	105121804
ENSOCUG00000009297	1	142752804	142813873
ENSOCUG00000009302	1	142648744	142701892
ENSOCUG00000009312	1	146790128	146791099
ENSOCUG00000009315	1	38565413	38615252
ENSOCUG00000009319	1	38511456	38561241
ENSOCUG00000009327	1	38060138	38454852
ENSOCUG00000009365	1	86394706	86420963
ENSOCUG00000009437	1	59151622	59358074
ENSOCUG00000009444	1	59416689	59478488
ENSOCUG00000009466	1	122791691	122873124
ENSOCUG00000009473	1	122739669	122782498
ENSOCUG00000009562	1	187542767	187543681
ENSOCUG00000009565	1	187581261	187582208
ENSOCUG00000009602	1	157120230	157120811
ENSOCUG00000009659	1	152333572	152347694
ENSOCUG00000009662	1	104154374	104190295
ENSOCUG00000009672	1	104115845	104127890
ENSOCUG00000009710	1	146040659	146042160
ENSOCUG00000009723	1	11647995	11657909
ENSOCUG00000009770	1	130812999	130874038
ENSOCUG00000009821	1	194439624	194444763
ENSOCUG00000009832	1	146336037	146337023
ENSOCUG00000009834	1	474848	598211
ENSOCUG00000009840	1	456317	467089
ENSOCUG00000009897	1	152092647	152096987
ENSOCUG00000009905	1	139135541	139135819
ENSOCUG00000009923	1	157631958	157692944
ENSOCUG00000009945	1	187569939	187570847
ENSOCUG00000009965	1	127562607	127667237
ENSOCUG00000009988	1	194599865	194732090
ENSOCUG00000010010	1	147245332	147256823
ENSOCUG00000010051	1	86456736	86492427
ENSOCUG00000010058	1	86348464	86374093
ENSOCUG00000010079	1	192903909	192921671
ENSOCUG00000010108	1	48396511	48564727
ENSOCUG00000010109	1	114196423	114209809
ENSOCUG00000010111	1	142289494	142320062
ENSOCUG00000010119	1	188544972	188545886
ENSOCUG00000010158	1	18295827	18303015
ENSOCUG00000010170	1	18292771	18298159
ENSOCUG00000010176	1	18266834	18269504
ENSOCUG00000010181	1	18263741	18266546
ENSOCUG00000010187	1	18251147	18256037
ENSOCUG00000010198	1	18242540	18249038
ENSOCUG00000010203	1	18210567	18236849
ENSOCUG00000010248	1	18189898	18200061
ENSOCUG00000010261	1	173918362	173959985
ENSOCUG00000010265	1	18184349	18188876
ENSOCUG00000010310	1	189237673	189238602
ENSOCUG00000010311	1	101780474	101802192
ENSOCUG00000010318	1	99045092	99108667
ENSOCUG00000010335	1	98691237	99032683
ENSOCUG00000010338	1	70814530	70818977
ENSOCUG00000010359	1	98671226	98671366
ENSOCUG00000010367	1	39270002	39338409
ENSOCUG00000010374	1	39246916	39250167
ENSOCUG00000010379	1	39054431	39229583
ENSOCUG00000010402	1	120370780	120371659
ENSOCUG00000010435	1	1131690	1277068
ENSOCUG00000010446	1	143625912	143638185
ENSOCUG00000010447	1	189371743	189372678
ENSOCUG00000010457	1	143323147	143619487
ENSOCUG00000010458	1	98302736	98317327
ENSOCUG00000010467	1	54516798	54518070
ENSOCUG00000010476	1	74112085	74278074
ENSOCUG00000010489	1	149719931	149768396
ENSOCUG00000010492	1	88323119	88455941
ENSOCUG00000010493	1	94483003	94674177
ENSOCUG00000010502	1	94456084	94473254
ENSOCUG00000010504	1	94385898	94386791
ENSOCUG00000010514	1	127021331	127035350
ENSOCUG00000010534	1	132457073	133356273
ENSOCUG00000010538	1	139318210	139414666
ENSOCUG00000010583	1	73551249	73578916
ENSOCUG00000010598	1	71009581	71127599
ENSOCUG00000010638	1	138757600	138866120
ENSOCUG00000010656	1	38758525	38896111
ENSOCUG00000010680	1	145878612	145879396
ENSOCUG00000010683	1	188268474	188269412
ENSOCUG00000010689	1	188276481	188277434
ENSOCUG00000010701	1	15127462	15147604
ENSOCUG00000010711	1	92517739	92518193
ENSOCUG00000010728	1	99596587	99598254
ENSOCUG00000010743	1	70531404	70580650
ENSOCUG00000010773	1	152355540	152436419
ENSOCUG00000010820	1	120576446	120815544
ENSOCUG00000010873	1	147004404	147005345
ENSOCUG00000010901	1	189731457	189732392
ENSOCUG00000010907	1	108470714	108606137
ENSOCUG00000010911	1	194101695	194111981
ENSOCUG00000010915	1	194116072	194133810
ENSOCUG00000010940	1	146067949	146068905
ENSOCUG00000010945	1	72263426	72274592
ENSOCUG00000010947	1	193719311	193720718
ENSOCUG00000010949	1	72278500	72347778
ENSOCUG00000010953	1	186070979	186075887
ENSOCUG00000010993	1	144534456	144535503
ENSOCUG00000010994	1	16255478	16282562
ENSOCUG00000011049	1	126824115	126829632
ENSOCUG00000011075	1	171111239	171125446
ENSOCUG00000011143	1	193697424	193702395
ENSOCUG00000011156	1	145888923	145889867
ENSOCUG00000011172	1	83795537	84052729
ENSOCUG00000011174	1	76012142	76017760
ENSOCUG00000011233	1	99607028	99609200
ENSOCUG00000011238	1	99343481	99590328
ENSOCUG00000011266	1	138634161	138666459
ENSOCUG00000011310	1	150705931	150706473
ENSOCUG00000011333	1	113650521	113651306
ENSOCUG00000011334	1	68942905	68944376
ENSOCUG00000011339	1	96663095	96693171
ENSOCUG00000011346	1	96382872	96555325
ENSOCUG00000011350	1	155695591	156006916
ENSOCUG00000011361	1	146373462	146374409
ENSOCUG00000011362	1	156014770	156050337
ENSOCUG00000011404	1	93464367	93465302
ENSOCUG00000011405	1	72828077	72830780
ENSOCUG00000011411	1	49501220	49524673
ENSOCUG00000011481	1	188110756	188111983
ENSOCUG00000011530	1	71162548	71201960
ENSOCUG00000011554	1	48181956	48206870
ENSOCUG00000011567	1	18390152	18444492
ENSOCUG00000011571	1	18324009	18336224
ENSOCUG00000011572	1	17979093	17980049
ENSOCUG00000011624	1	165959719	165960354
ENSOCUG00000011625	1	103004486	103051455
ENSOCUG00000011656	1	4308408	4309730
ENSOCUG00000011657	1	102961302	102972424
ENSOCUG00000011726	1	161991916	161992649
ENSOCUG00000011727	1	188927450	188928525
ENSOCUG00000011748	1	145782119	145783066
ENSOCUG00000011869	1	108870630	108938953
ENSOCUG00000011874	1	189712513	189713457
ENSOCUG00000011876	1	108820359	108824797
ENSOCUG00000011878	1	108746312	108761554
ENSOCUG00000011880	1	79074499	79146873
ENSOCUG00000011891	1	66119304	66283371
ENSOCUG00000011923	1	138898015	139056212
ENSOCUG00000011931	1	108967123	109030804
ENSOCUG00000011954	1	18504656	18696687
